,GENEABREV,ENTRY,ENTRY NAME,PROTEIN,GENE,ORGANISM,STATUS,GO - BIOLOGICAL PROCESS,MOLECULAR FUNCION,BIOLOGICAL PROCESS,LIGARD
967,RAB3IP,A4FV54,RAB8A_BOVIN,Ras-related protein Rab-8A,RAB8A,Bos taurus (Bovine),Reviewed,autophagy. axonogenesis. cellular response to insulin stimulus. cilium assembly. Golgi vesicle fusion to target membrane. neurotransmitter receptor transport to postsynaptic membrane. protein localization to plasma membrane. protein secretion. regulation of autophagy. regulation of exocytosis. vesicle docking involved in exocytosis,na,Autophagy. Cilium biogenesis/degradation. Protein transport. Transport,GTP-binding. Nucleotide-binding
968,LOC107132482,na,na,na,na,na,na,na,na,na,na
969,BEST3,E1BF90,E1BF90_BOVIN,Bestrophin,BEST3,Bos taurus (Bovine),Unreviewed,negative regulation of ion transport,Chloride channel. Ion channel,Ion transport. Transport,Chloride
970,LRRC10,Q24K06,LRC10_BOVIN,Leucine-rich repeat-containing protein 10,LRRC10,Bos taurus (Bovine),Reviewed,cardiac muscle cell development,na,na,na
971,CCT2,Q3ZBH0,TCPB_BOVIN,T-complex protein 1 subunit beta,CCT2,Bos taurus (Bovine),Reviewed,binding of sperm to zona pellucida. chaperone-mediated protein complex assembly. chaperone mediated protein folding independent of cofactor. positive regulation of establishment of protein localization to telomere. positive regulation of telomerase activity. positive regulation of telomerase RNA localization to Cajal body. positive regulation of telomere maintenance via telomerase. protein folding. protein stabilization. scaRNA localization to Cajal body. toxin transport,Chaperone,na,ATP-binding. Nucleotide-binding
972,FRS2,P19534,CADH2_BOVIN,Cadherin-2,CDH2,Bos taurus (Bovine),Reviewed,"blood vessel morphogenesis. brain development. cell-cell adhesion. cell-cell adhesion mediated by cadherin. cell-cell adhesion via plasma-membrane adhesion molecules. cell-cell junction assembly. glial cell differentiation. homophilic cell adhesion via plasma membrane adhesion molecules. neural crest cell development. neuronal stem cell population maintenance. regulation of axonogenesis. regulation of signal transduction. regulation of synaptic transmission, glutamatergic. synapse assembly. type B pancreatic cell development",na,Cell adhesion,Calcium. Metal-binding
973,MIR2427,na,na,na,na,na,na,na,na,na,na
974,LOC100138933,na,na,na,na,na,na,na,na,na,na
975,YEATS4,Q2TBU9,RUVB2_BOVIN,RuvB-like 2,RUVBL2,Bos taurus (Bovine),Reviewed,box C/D snoRNP assembly. chromatin remodeling. DNA recombination. DNA repair. histone acetylation. histone H2A acetylation. histone H4 acetylation. regulation of transcription by RNA polymerase II,Activator. Chromatin regulator. Helicase. Hydrolase,DNA damage. DNA recombination. DNA repair. Transcription. Transcription regulation,ATP-binding. Nucleotide-binding
976,LYZ1,P04421,LYSC_BOVIN,Lysozyme C,LYZ1,Bos taurus (Bovine),Reviewed,cytolysis. defense response to Gram-negative bacterium. defense response to Gram-positive bacterium. digestion. metabolic process,Antimicrobial. Bacteriolytic enzyme. Glycosidase. Hydrolase,Digestion,na
977,LOC112446887,na,na,na,na,na,na,na,na,na,na
978,LOC112446915,na,na,na,na,na,na,na,na,na,na
979,LOC785803,G1K230,G1K230_BOVIN,Lysozyme,LOC785803,Bos taurus (Bovine),Unreviewed,cytolysis. defense response to Gram-negative bacterium. defense response to Gram-positive bacterium. metabolic process,Antimicrobial. Bacteriolytic enzyme. Glycosidase. Hydrolase,na,na
980,LOC781146,A0A3Q1M4Y5,A0A3Q1M4Y5_BOVIN,Lysozyme,LOC781146,Bos taurus (Bovine),Unreviewed,cytolysis. defense response to Gram-negative bacterium. defense response to Gram-positive bacterium. metabolic process,Antimicrobial. Bacteriolytic enzyme. Glycosidase. Hydrolase,na,na
981,LOC112446693,F1MEC3,F1MEC3_BOVIN,Lysozyme,LOC112446693,Bos taurus (Bovine),Unreviewed,cytolysis. defense response to Gram-negative bacterium. defense response to Gram-positive bacterium. metabolic process,Antimicrobial. Bacteriolytic enzyme. Glycosidase. Hydrolase,na,na
982,LOC112446695,na,na,na,na,na,na,na,na,na,na
983,exon,Q2NL22,IF4A3_BOVIN,Eukaryotic initiation factor 4A-III,EIF4A3,Bos taurus (Bovine),Reviewed,"embryonic cranial skeleton morphogenesis. mRNA splicing, via spliceosome. mRNA transport. negative regulation of translation. nuclear-transcribed mRNA catabolic process, nonsense-mediated decay. positive regulation of translation. regulation of alternative mRNA splicing, via spliceosome. rRNA processing",Helicase. Hydrolase. RNA-binding,mRNA processing. mRNA splicing. mRNA transport. Nonsense-mediated mRNA decay. rRNA processing. Translation regulation. Transport,ATP-binding. Nucleotide-binding
984,LOC112446889,na,na,na,na,na,na,na,na,na,na
985,LOC617219,G5E502,G5E502_BOVIN,Lysozyme,LOC617219,Bos taurus (Bovine),Unreviewed,cytolysis. defense response to Gram-negative bacterium. defense response to Gram-positive bacterium. metabolic process,Antimicrobial. Bacteriolytic enzyme. Glycosidase. Hydrolase,na,na
986,LOC112446694,na,na,na,na,na,na,na,na,na,na
987,exon,Q2NL22,IF4A3_BOVIN,Eukaryotic initiation factor 4A-III,EIF4A3,Bos taurus (Bovine),Reviewed,"embryonic cranial skeleton morphogenesis. mRNA splicing, via spliceosome. mRNA transport. negative regulation of translation. nuclear-transcribed mRNA catabolic process, nonsense-mediated decay. positive regulation of translation. regulation of alternative mRNA splicing, via spliceosome. rRNA processing",Helicase. Hydrolase. RNA-binding,mRNA processing. mRNA splicing. mRNA transport. Nonsense-mediated mRNA decay. rRNA processing. Translation regulation. Transport,ATP-binding. Nucleotide-binding
988,LOC112446890,na,na,na,na,na,na,na,na,na,na
989,LYSB,na,na,na,na,na,na,na,na,na,na
990,LYZ2,Q06283,LYSC2_BOVIN,Lysozyme C-2,LYZ2,Bos taurus (Bovine),Reviewed,cytolysis. defense response to Gram-negative bacterium. defense response to Gram-positive bacterium. digestion. metabolic process,Antimicrobial. Bacteriolytic enzyme. Glycosidase. Hydrolase,Digestion,na
991,LYZ1,P04421,LYSC_BOVIN,Lysozyme C,LYZ1,Bos taurus (Bovine),Reviewed,cytolysis. defense response to Gram-negative bacterium. defense response to Gram-positive bacterium. digestion. metabolic process,Antimicrobial. Bacteriolytic enzyme. Glycosidase. Hydrolase,Digestion,na
992,LYZ3,Q06284,LYSC3_BOVIN,Lysozyme C-3,LYZ3,Bos taurus (Bovine),Reviewed,cytolysis. defense response to Gram-negative bacterium. defense response to Gram-positive bacterium. digestion. metabolic process,Antimicrobial. Bacteriolytic enzyme. Glycosidase. Hydrolase,Digestion,na
993,LOC787241,na,na,na,na,na,na,na,na,na,na
994,LOC112446907,na,na,na,na,na,na,na,na,na,na
995,LYZ,P00711,LALBA_BOVIN,Alpha-lactalbumin,LALBA,Bos taurus (Bovine),Reviewed,lactose biosynthetic process. response to 11-deoxycorticosterone. response to dehydroepiandrosterone. response to estradiol. response to progesterone,Milk protein,Lactose biosynthesis,Calcium. Metal-binding
996,CPSF6,Q0P5D2,CPSF6_BOVIN,Cleavage and polyadenylation specificity factor subunit 6,CPSF6,Bos taurus (Bovine),Reviewed,messenger ribonucleoprotein complex assembly. mRNA alternative polyadenylation. mRNA processing. positive regulation of RNA export from nucleus. protein heterotetramerization,RNA-binding,mRNA processing,na
997,TRNAC-GCA,na,na,na,na,na,na,na,na,na,na
998,LOC107132485,A0A3Q1MQV9,A0A3Q1MQV9_BOVIN,40S ribosomal protein S20,LOC107132485,Bos taurus (Bovine),Unreviewed,translation,Ribonucleoprotein. Ribosomal protein,na,na
999,LOC112446864,na,na,na,na,na,na,na,na,na,na
1000,LOC104969823,na,na,na,na,na,na,na,na,na,na
1001,CPM,P00189,CP11A_BOVIN,"Cholesterol side-chain cleavage enzyme, mitochondrial",CYP11A1,Bos taurus (Bovine),Reviewed,C21-steroid hormone biosynthetic process. cholesterol metabolic process. vitamin D metabolic process,Monooxygenase. Oxidoreductase,Cholesterol metabolism. Lipid metabolism. Steroid metabolism. Steroidogenesis. Sterol metabolism,Heme. Iron. Metal-binding
1002,LOC112446696,na,na,na,na,na,na,na,na,na,na
1003,MDM2,A0A4W2CSU9,A0A4W2CSU9_BOBOX,Double minute 2 protein,MDM2,Bos indicus x Bos taurus (Hybrid cattle),Unreviewed,apoptotic process. atrial septum development. atrioventricular valve morphogenesis. blood vessel development. blood vessel remodeling. cardiac septum morphogenesis. endocardial cushion morphogenesis. negative regulation of apoptotic process. negative regulation of cell cycle arrest. negative regulation of transcription by RNA polymerase II. positive regulation of muscle cell differentiation. regulation of heart rate. traversing start control point of mitotic cell cycle. ubiquitin-dependent protein catabolic process. ventricular septum development,Transferase,na,Metal-binding. Zinc
1004,SRGAP1,A0A3Q1LMM5,A0A3Q1LMM5_BOVIN,Uncharacterized protein,SRGAP2,Bos taurus (Bovine),Unreviewed,dendritic spine development. extension of a leading process involved in cell motility in cerebral cortex radial glia guided migration. filopodium assembly. negative regulation of cell migration. neuron projection morphogenesis. signal transduction,na,Neurogenesis,na
1005,RXYLT1,F1MKC5,F1MKC5_BOVIN,Ribitol xylosyltransferase 1,RXYLT1,Bos taurus (Bovine),Unreviewed,protein O-linked mannosylation,na,na,na
1006,AVPR1A,P01175,NEU1_BOVIN,Oxytocin-neurophysin 1,OXT,Bos taurus (Bovine),Reviewed,positive regulation of cold-induced thermogenesis. response to estrogen. response to external biotic stimulus. response to food. response to mechanical stimulus,Hormone,na,na
1007,LOC100140195,na,na,na,na,na,na,na,na,na,na
1008,PPM1H,F1MFZ6,F1MFZ6_BOVIN,"Protein phosphatase, Mg2+/Mn2+ dependent 1H",PPM1H,Bos taurus (Bovine),Unreviewed,protein dephosphorylation,na,na,na
1009,LOC112446702,na,na,na,na,na,na,na,na,na,na
1010,LOC104972443,na,na,na,na,na,na,na,na,na,na
1011,LOC784406,na,na,na,na,na,na,na,na,na,na
1012,MIRLET7I,na,na,na,na,na,na,na,na,na,na
1013,MON2,Q1RMH8,SNX3_BOVIN,Sorting nexin-3,SNX3,Bos taurus (Bovine),Reviewed,endocytic recycling. intralumenal vesicle formation. late endosome to Golgi transport. membrane invagination. negative regulation of early endosome to late endosome transport. negative regulation of phagocytosis. negative regulation of protein catabolic process. negative regulation of protein transport. negative regulation of viral entry into host cell. positive regulation of neuron projection development. protein to membrane docking. protein transport. regulation of Wnt signaling pathway. response to bacterium,na,Protein transport. Transport,Lipid-binding
1014,USP15,Q2HJE4,UBP15_BOVIN,Ubiquitin carboxyl-terminal hydrolase 15,USP15,Bos taurus (Bovine),Reviewed,BMP signaling pathway. histone H2B conserved C-terminal lysine deubiquitination. monoubiquitinated protein deubiquitination. pathway-restricted SMAD protein phosphorylation. protein deubiquitination. transforming growth factor beta receptor signaling pathway. ubiquitin-dependent protein catabolic process,Hydrolase. Protease. Thiol protease,Ubl conjugation pathway,na
1015,FAM19A2,na,na,na,na,na,na,na,na,na,na
1016,LOC101903699,na,na,na,na,na,na,na,na,na,na
1017,LOC101904412,na,na,na,na,na,na,na,na,na,na
1018,ATP23,F1MY08,F1MY08_BOVIN,Mitochondrial inner membrane protease ATP23,ATP23,Bos taurus (Bovine),Unreviewed,mitochondrial protein processing. mitochondrial proton-transporting ATP synthase complex assembly,Hydrolase. Metalloprotease. Protease,na,Metal-binding
1019,LOC112446704,na,na,na,na,na,na,na,na,na,na
1020,CTDSP2,Q2KJ43,Q2KJ43_BOVIN,Protein-serine/threonine phosphatase,CTDSP2,Bos taurus (Bovine),Unreviewed,negative regulation of G1/S transition of mitotic cell cycle. negative regulation of protein phosphorylation,Hydrolase,na,na
1021,MIR26A-2,na,na,na,na,na,na,na,na,na,na
1022,AVIL,P61157,ARP3_BOVIN,Actin-related protein 3,ACTR3,Bos taurus (Bovine),Reviewed,Arp2/3 complex-mediated actin nucleation. cilium assembly. positive regulation of lamellipodium assembly. positive regulation of transcription by RNA polymerase II,Actin-binding,Cilium biogenesis/degradation,ATP-binding. Nucleotide-binding
1023,TSFM,P49410,EFTU_BOVIN,"Elongation factor Tu, mitochondrial",TUFM,Bos taurus (Bovine),Reviewed,mitochondrial translational elongation. translational elongation,Elongation factor,Protein biosynthesis,GTP-binding. Nucleotide-binding
1024,EEF1AKMT3,A4FV98,EFMT3_BOVIN,EEF1A lysine methyltransferase 3,EEF1AKMT3,Bos taurus (Bovine),Reviewed,peptidyl-lysine methylation,Methyltransferase. Transferase,na,S-adenosyl-L-methionine
1025,METTL1,Q2YDF1,TRMB_BOVIN,tRNA (guanine-N(7)-)-methyltransferase,METTL1,Bos taurus (Bovine),Reviewed,RNA (guanine-N7)-methylation. tRNA methylation. tRNA modification,Methyltransferase. RNA-binding. Transferase. tRNA-binding,tRNA processing,S-adenosyl-L-methionine
1026,CYP27B1,E1BN35,E1BN35_BOVIN,Uncharacterized protein,CYP27B1,Bos taurus (Bovine),Unreviewed,bone mineralization. calcitriol biosynthetic process from calciol. calcium ion homeostasis. calcium ion transport. decidualization. G1 to G0 transition. negative regulation of calcidiol 1-monooxygenase activity. negative regulation of cell growth. negative regulation of cell population proliferation. positive regulation of keratinocyte differentiation. positive regulation of vitamin D 24-hydroxylase activity. positive regulation of vitamin D receptor signaling pathway. regulation of bone mineralization. response to estrogen. response to interferon-gamma. response to lipopolysaccharide. response to vitamin D. vitamin D catabolic process,Monooxygenase. Oxidoreductase,na,Heme. Iron. Metal-binding
1027,MARCH9,Q95132,ICAM1_BOVIN,Intercellular adhesion molecule 1,ICAM1,Bos taurus (Bovine),Reviewed,cell adhesion. cell-cell adhesion,na,Cell adhesion,na
1028,CDK4,Q32KY4,CDK4_BOVIN,Cyclin-dependent kinase 4,CDK4,Bos taurus (Bovine),Reviewed,cell cycle. cell division. negative regulation of cell cycle arrest. positive regulation of G2/M transition of mitotic cell cycle. protein phosphorylation. regulation of cell cycle,Kinase. Serine/threonine-protein kinase. Transferase,Cell cycle. Cell division,ATP-binding. Nucleotide-binding
1029,TSPAN31,Q32KP1,TSN31_BOVIN,Tetraspanin-31,TSPAN31,Bos taurus (Bovine),Reviewed,na,na,na,na
1030,AGAP2,A0JNB0,FYN_BOVIN,Tyrosine-protein kinase Fyn,FYN,Bos taurus (Bovine),Reviewed,activated T cell proliferation. adaptive immune response. cell differentiation. cellular response to amyloid-beta. cellular response to platelet-derived growth factor stimulus. cellular response to transforming growth factor beta stimulus. dendrite morphogenesis. detection of mechanical stimulus involved in sensory perception of pain. forebrain development. heart process. innate immune response. modulation of chemical synaptic transmission. negative regulation of dendritic spine maintenance. negative regulation of gene expression. negative regulation of protein catabolic process. negative regulation of protein ubiquitination. neuron migration. peptidyl-tyrosine phosphorylation. positive regulation of I-kappaB kinase/NF-kappaB signaling. positive regulation of neuron death. positive regulation of neuron projection development. positive regulation of protein localization to nucleus. positive regulation of protein targeting to membrane. positive regulation of tyrosine phosphorylation of STAT protein. protein autophosphorylation. regulation of calcium ion import across plasma membrane. regulation of cell shape. regulation of glutamate receptor signaling pathway. response to ethanol. T cell receptor signaling pathway. transmembrane receptor protein tyrosine kinase signaling pathway,Developmental protein. Kinase. Transferase. Tyrosine-protein kinase,Adaptive immunity. Immunity,ATP-binding. Manganese. Metal-binding. Nucleotide-binding
